epoch,accuracy,loss,val_accuracy,val_loss
0,0.7829999923706055,0.5878568887710571,0.8974999785423279,0.2621394693851471
1,0.8659999966621399,0.32914626598358154,0.8650000095367432,0.29918229579925537
2,0.8855000138282776,0.2854499816894531,0.8974999785423279,0.2762608230113983
3,0.9114999771118164,0.24286231398582458,0.9049999713897705,0.2510394752025604
4,0.9139999747276306,0.21701718866825104,0.9012500047683716,0.271016925573349
5,0.9275000095367432,0.1972048580646515,0.8912500143051147,0.31629377603530884
6,0.9375,0.15262971818447113,0.887499988079071,0.42392024397850037
7,0.9375,0.15360650420188904,0.8962500095367432,0.3252354860305786
8,0.9440000057220459,0.14145714044570923,0.8899999856948853,0.35567960143089294
9,0.9549999833106995,0.11759535223245621,0.9037500023841858,0.32290536165237427
